#class tools::histo::h1d
#title Edep
#dimension 1
#axis fixed 4000 0 4
#annotation axis_x.title 
#bin_number 4002
entries,Sw,Sw2,Sxw0,Sx2w0
99525168,9.95E+07,9.95E+07,-9.95E+07,9.95E+07
56586,56586,56586,26.1541,0.0163863
29440,29440,29440,43.4759,0.0668316
36316,36316,36316,91.2105,0.231944
17604,17604,17604,59.3611,0.201479
5547,5547,5547,24.6075,0.109615
3343,3343,3343,18.26,0.100015
2307,2307,2307,14.9363,0.0968959
1804,1804,1804,13.5073,0.101287
1655,1655,1655,14.0634,0.119643
1565,1565,1565,14.8293,0.140646
1509,1509,1509,15.8355,0.166301
1424,1424,1424,16.3846,0.188643
1392,1392,1392,17.3749,0.216994
1271,1271,1271,17.153,0.2316
1324,1324,1324,19.2058,0.278707
1264,1264,1264,19.5917,0.303768
1242,1242,1242,20.5027,0.338558
1208,1208,1208,21.1244,0.369507
1167,1167,1167,21.5798,0.399147
1177,1177,1177,22.9411,0.447246
1077,1077,1077,22.0828,0.452876
1087,1087,1087,23.3698,0.502527
1034,1034,1034,23.2701,0.523779
1015,1015,1015,23.8532,0.560651
1020,1020,1020,24.9844,0.612063
966,966,966,24.6124,0.627174
975,975,975,25.8368,0.68474
1014,1014,1014,27.8862,0.766989
940,940,940,26.7834,0.763221
928,928,928,27.3752,0.807617
915,915,915,27.9223,0.852155
894,894,894,28.1611,0.887151
864,864,864,28.0797,0.912651
957,957,957,32.0635,1.07434
897,897,897,30.959,1.06859
828,828,828,29.4034,1.04423
872,872,872,31.8276,1.16176
795,795,795,29.8096,1.11782
855,855,855,32.9176,1.2674
822,822,822,32.4579,1.28172
798,798,798,32.3298,1.30986
773,773,773,32.0683,1.33044
755,755,755,32.0842,1.36351
752,752,752,32.72,1.42372
796,796,796,35.4225,1.57639
812,812,812,36.9501,1.68149
800,800,800,37.1987,1.72975
779,779,779,37.0155,1.75892
767,767,767,37.208,1.80506
741,741,741,36.6843,1.81617
678,678,678,34.2261,1.72782
690,690,690,35.5356,1.83017
771,771,771,40.4833,2.12574
700,700,700,37.4362,2.00216
709,709,709,38.6419,2.10612
713,713,713,39.5696,2.19606
709,709,709,40.0564,2.26313
669,669,669,38.4617,2.21128
707,707,707,41.3587,2.4195
688,688,688,40.9296,2.43499
655,655,655,39.6319,2.39805
694,694,694,42.6892,2.62594
673,673,673,42.0594,2.62857
669,669,669,42.4738,2.69665
660,660,660,42.5715,2.74602
675,675,675,44.2092,2.89554
651,651,651,43.293,2.87915
627,627,627,42.3155,2.85587
654,654,654,44.8073,3.06993
629,629,629,43.7058,3.03694
678,678,678,47.8053,3.37078
613,613,613,43.836,3.13478
626,626,626,45.3832,3.2902
631,631,631,46.3784,3.40886
642,642,642,47.8269,3.563
603,603,603,45.5384,3.43909
614,614,614,46.971,3.59333
629,629,629,48.7405,3.7769
575,575,575,45.1305,3.54224
604,604,604,48.0191,3.81765
607,607,607,48.871,3.93478
561,561,561,45.716,3.72545
602,602,602,49.6558,4.0959
591,591,591,49.355,4.12174
657,657,657,55.5088,4.68989
607,607,607,51.9031,4.43816
598,598,598,51.7157,4.47249
561,561,561,49.1015,4.29765
592,592,592,52.3914,4.63663
583,583,583,52.1872,4.67159
579,579,579,52.3914,4.74073
607,607,607,55.5358,5.08114
580,580,580,53.6497,4.96262
548,548,548,51.2319,4.78966
555,555,555,52.4493,4.95667
557,557,557,53.1955,5.08041
548,548,548,52.8773,5.10225
567,567,567,55.2717,5.38798
557,557,557,54.8571,5.40275
528,528,528,52.5391,5.22799
532,532,532,53.4622,5.37261
540,540,540,54.8087,5.56299
549,549,549,56.2742,5.76833
530,530,530,54.8626,5.67911
488,488,488,50.996,5.32913
573,573,573,60.4414,6.37555
551,551,551,58.6887,6.25115
