#class tools::histo::h1d
#title Edep
#dimension 1
#axis fixed 4000 0 4
#annotation axis_x.title 
#bin_number 4002
entries,Sw,Sw2,Sxw0,Sx2w0
99455470,9.94555e+07,9.94555e+07,-9.94555e+07,9.94555e+07
76138,76138,76138,35.1458,0.0218898
33291,33291,33291,47.9659,0.0719638
23708,23708,23708,58.9075,0.148268
13219,13219,13219,45.384,0.156915
8973,8973,8973,40.2395,0.181212
7717,7717,7717,42.3646,0.233214
6856,6856,6856,44.5256,0.28975
6140,6140,6140,46.0451,0.345809
5928,5928,5928,50.3938,0.428897
5588,5588,5588,53.0818,0.504713
5344,5344,5344,56.0787,0.588917
5161,5161,5161,59.336,0.682615
5010,5010,5010,62.5936,0.782438
4662,4662,4662,62.9212,0.849603
4432,4432,4432,64.2752,0.93252
4207,4207,4207,65.1815,1.01025
4192,4192,4192,69.1331,1.14047
4117,4117,4117,72.061,1.26164
3817,3817,3817,70.5875,1.30569
3775,3775,3775,73.5953,1.43509
3603,3603,3603,73.8435,1.51373
3597,3597,3597,77.3343,1.66297
3439,3439,3439,77.3561,1.74031
3203,3203,3203,75.2806,1.76959
3286,3286,3286,80.4989,1.9723
3101,3101,3101,79.0521,2.01549
2966,2966,2966,78.5942,2.08287
2946,2946,2946,81.0188,2.22836
2940,2940,2940,83.7993,2.38879
2736,2736,2736,80.7161,2.38147
2766,2766,2766,84.348,2.57239
2662,2662,2662,83.8409,2.64084
2621,2621,2621,85.1841,2.76874
2452,2452,2452,82.116,2.75022
2520,2520,2520,86.9152,2.99793
2450,2450,2450,86.9625,3.08692
2345,2345,2345,85.5996,3.12484
2185,2185,2185,81.9656,3.07495
2310,2310,2310,88.9269,3.42357
2270,2270,2270,89.6575,3.54136
2081,2081,2081,84.2685,3.41256
2131,2131,2131,88.4284,3.66962
2101,2101,2101,89.2921,3.79507
2085,2085,2085,90.6881,3.9447
2032,2032,2032,90.4355,4.02507
1968,1968,1968,89.5388,4.07395
2000,2000,2000,93.0065,4.32528
1853,1853,1853,88.0466,4.18375
1865,1865,1865,90.4427,4.38615
1929,1929,1929,95.47,4.72516
1845,1845,1845,93.1601,4.70412
1801,1801,1801,92.7435,4.77603
1704,1704,1704,89.45,4.69574
1735,1735,1735,92.8207,4.96595
1694,1694,1694,92.3062,5.0299
1671,1671,1671,92.739,5.14708
1647,1647,1647,93.0424,5.25629
1644,1644,1644,94.5299,5.4356
1586,1586,1586,92.7979,5.42979
1553,1553,1553,92.4219,5.50033
1588,1588,1588,96.0691,5.81202
1483,1483,1483,91.1884,5.60722
1595,1595,1595,99.6925,6.23123
1480,1480,1480,93.9843,5.96839
1428,1428,1428,92.0934,5.93934
1401,1401,1401,91.7762,6.01216
1433,1433,1433,95.2899,6.33659
1406,1406,1406,94.8989,6.40539
1400,1400,1400,95.8981,6.569
1338,1338,1338,92.9807,6.46155
1376,1376,1376,97.0076,6.83913
1323,1323,1323,94.6059,6.76525
1282,1282,1282,92.9526,6.73973
1309,1309,1309,96.1927,7.0689
1234,1234,1234,91.9309,6.8488
1258,1258,1258,94.9681,7.16937
1187,1187,1187,90.7938,6.94493
1229,1229,1229,95.2413,7.38082
1144,1144,1144,89.8076,7.05028
1183,1183,1183,94.043,7.47608
1219,1219,1219,98.1143,7.89707
1144,1144,1144,93.2268,7.59734
1120,1120,1120,92.3986,7.62285
1214,1214,1214,101.367,8.46407
1143,1143,1143,96.5633,8.15798
1126,1126,1126,96.2777,8.23223
1103,1103,1103,95.4208,8.25496
1080,1080,1080,94.4897,8.26703
1051,1051,1051,93.0135,8.23178
1061,1061,1061,94.9471,8.49674
976,976,976,88.3267,7.99354
965,965,965,88.2919,8.07827
1050,1050,1050,97.1143,8.98218
996,996,996,93.1276,8.70766
1031,1031,1031,97.4268,9.20666
1011,1011,1011,96.5537,9.22127
1028,1028,1028,99.2002,9.57272
949,949,949,92.5246,9.02094
893,893,893,87.9618,8.66444
959,959,959,95.4253,9.49537
966,966,966,97.078,9.75591
897,897,897,91.053,9.24271
935,935,935,95.8547,9.82695
913,913,913,94.492,9.77963
902,902,902,94.2457,9.84737
875,875,875,92.3236,9.74138
850,850,850,90.5067,9.63709
850,850,850,91.3832,9.82464
834,834,834,90.4885,9.81801
812,812,812,88.9046,9.73408
842,842,842,93.0318,10.2791
802,802,802,89.4173,9.96947
836,836,836,94.0435,10.5792
797,797,797,90.4594,10.2672
784,784,784,89.7625,10.2772
749,749,749,86.5011,9.98998
834,834,834,97.1453,11.3157
774,774,774,90.945,10.6861
776,776,776,91.9567,10.897
